,internal_id,video_id,video_name
0,plllkw,hgk8-2Fweb8,"Patient Management | Materials & Equipment Safety | INBDE, ADAT.mp4"
1,xpetji,U6XA28g9tEE,"Endodontics | Adjunctive Treatment | INBDE, ADAT.mp4"
2,cxqeox,j0VTYFUMW_M,Evidence-Based Dentistry Part 2.mp4
3,ufwmpg,3p1-xzfdJCA,Anatomy and Physiology Chapter 7 Part B Lecture: The Skelton.mp4
4,xfzngr,CmION0EvzLc,"Patient Management | Public Health & Epidemiology | INBDE, ADAT.mp4"
5,zrkmxn,hOT3-eQ78ug,Developmental Psychology - Middle Adulthood - Biosychosocial - CH13.mp4
6,vqesbr,j0VTYFUMW_M,Evidence-Based Dentistry Part 2.mp4
7,hydixc,Pl0nGwSl1aA,"Periodontics | Prevention & Maintenance | INBDE, ADAT.mp4"
8,obwxrn,EHzEbKDgeRU,"Oral Pathology | Mucosal Malignant Lesions | INBDE, ADAT.mp4"
9,ihdpjv,T6L_Q3TY63I,"Prosthodontics | Gypsum Materials | INBDE, ADAT.mp4"
10,ubqley,PLAMJJfZ-eo,"Pediatric Dentistry | Primary Tooth Treatment | INBDE, ADAT.mp4"
11,asycxh,xdhp4L_w2hc,"Oral Surgery | Instrumentation for Extraction | INBDE, ADAT.mp4"
12,tabwoi,GIAhrwnk79Y,Histology- Taste Buds and Lingual Papillae.mp4
13,dxeqwb,DM4MWxnXOzM,Endocrine System - Pituitary Gland THE MASTER GLAND.mp4
14,qrxowj,j0VTYFUMW_M,Evidence-Based Dentistry Part 2.mp4
15,xxmbxs,8WPrZe83-zw,Chapter 38   Nervous System.mp4
16,oxratx,NQtXvfJCtxo,Head & Neck Anatomy | Foramina of the Skull | INBDE.mp4
17,wdvnza,E_3gxQWaCoQ,"Lecture 2.2: Basic Concepts - Optimization (Multimodal Machine Learning, Carnegie Mellon University).mp4"
18,pldnrz,j0VTYFUMW_M,Evidence-Based Dentistry Part 2.mp4
19,lxwqhv,9GmySN5P408,Orthodontic Tooth Movement- Biomechanics- Types of Movement.mp4
20,oogxef,BgkDDtOztEQ,"Prosthodontics | Tooth Preparation | INBDE, ADAT.mp4"
21,zlervx,Ybv_JU0IoEM,Human Anatomy Lecture  Ch 17 Endocrine System Pt 2.mp4
22,pajaco,QVX3avCg7G8,Head & Neck Anatomy | Embryology & Pharyngeal Arches | INBDE.mp4
23,dtwoem,4j5AbArXYLg,Head & Neck Anatomy | Craniofacial Veins | INBDE.mp4
24,lhopxd,QihnP-ajxBI,"Prosthodontics | Support, Stability, & Retention | INBDE, ADAT.mp4"
25,jtkszw,AMwWMcncTmQ,Anatomy and Physiology Chapter 22 Part C lecture: Respiratory System.mp4
26,lhwemu,qQheZ-IxaWg,Human Anatomy Lecture  Ch 6 Bones.mp4
27,cyqohz,NQtXvfJCtxo,Head & Neck Anatomy | Bones of the Skull | INBDE.mp4
28,gxtjwd,SZFqei91R9w,"Oral Radiology | Film vs. Digital Imaging | INBDE, ADAT.mp4"
29,znavfo,1gB90u2JOYg,Head & Neck Anatomy | Cranial Nerves | INBDE.mp4
30,vxcarn,y5KMF4sUHEg,Developmental Psychology - Cognitive & Physical Development Childhood - CH6.mp4
31,vhghaj,i2rMu91EFuI,Oral Medicine | INR & Bleeding | INBDE.mp4
32,cruilc,lIKsYXHp0lU,"Patient Management | Anxiety & Pain Control | INBDE, ADAT.mp4"
33,hjsbwd,Uxv9lSQGiws,"Oral Pathology | Salivary Gland Malignant Diseases | INBDE, ADAT.mp4"
34,ejftjw,XV2vQEfJccE,"Prosthodontics | Dental Cements | INBDE, ADAT.mp4"
35,hgkxep,F_O0Rj3IWn8,Head & Neck Anatomy | TMJ Anatomy | INBDE.mp4
36,jslpij,9PbV8t789tY,CurrentTopicsLecture7Ch7.mp4
37,trlhdz,3zcuZ6U7vQA,"Oral Pathology | Hereditary Conditions | INBDE, ADAT.mp4"
38,eqcnrd,Hb1b3YPHiTE,"Orthodontics | Growth & Development | INBDE, ADAT.mp4"
39,srmqde,j0VTYFUMW_M,Evidence-Based Dentistry Part 2.mp4
40,shngtp,YVlsHc5SvOs,"Periodontics | Adjunctive Therapy | INBDE, ADAT.mp4"
41,rjgctw,OX9gR4F9NK8,Orthodontic Tooth Movement- Mechanics.mp4
42,sgmaal,BgkDDtOztEQ,"Prosthodontics | General Considerations | INBDE, ADAT.mp4"
43,pdddxw,PnBGIMJeCQ0,"Orthodontics | PRACTICE QUESTIONS | INBDE, ADAT.mp4"
44,rzcsvv,NyLD0_ug28I,CurrentTopicsLecture2Ch2.mp4
45,srmqde,j0VTYFUMW_M,Evidence-Based Dentistry Part 2.mp4
46,gmyvcu,IRxyWfmXLXA,"Orthodontics | Early Treatment | INBDE, ADAT.mp4"
47,xgsetv,ALRJCeVT0fQ,Intro to Muscular system part 2.mp4
48,pidfog,xdhp4L_w2hc,"Oral Surgery | Biopsy Techniques | INBDE, ADAT.mp4"
49,yaldqc,_e_B8rTl_rU,"Pediatric Dentistry | Developmental Disturbances of Teeth | INBDE, ADAT.mp4"
50,sosjvp,is-Gs4rdLHk,Human Anatomy Lecture  Ch 9 Joints Pt 1.mp4
51,uktblu,WqBw1n4u4gU,Oral Medicine | COPD & Asthma | INBDE.mp4
52,mlvdvr,3Ht5yP6zXoY,Human Biology: Ch 16.3- Cardiovascular System Part 1.mp4
53,apivsf,BxHmsb1Gnyg,"Oral Radiology | Types of Radiographs | INBDE, ADAT.mp4"
54,meatkb,pI54QMfexuU,Three Stages of the Writing Process|Essay Writing and Presentation skills in Hindi Urdu ENG406 4.mp4
55,bsjwsj,WdqJlT1h8xA,"Operative Dentistry | Cavity Preparation | INBDE, ADAT.mp4"
56,xiietr,hgk8-2Fweb8,"Patient Management | Infection Control | INBDE, ADAT.mp4"
57,euwetu,84r-9Z_GsNo,"Orthodontics | Orthodontic Wires & Brackets | INBDE, ADAT.mp4"
58,ruweka,SZFqei91R9w,"Oral Radiology | Radiation Dose | INBDE, ADAT.mp4"
59,wnhdmj,cqoOAz8i6nI,Head & Neck Anatomy | Muscles of Facial Expression | INBDE.mp4
60,etdnlx,8xI5B75lcyY,Chapter 39   Muscoloskeletal System.mp4
61,wayvbl,4P4qBBxpthg,"Lecture 5.1: Multimodal Alignment (Multimodal Machine Learning, Carnegie Mellon University).mp4"
62,yrhkqu,LkbshG-26Uc,"Prosthodontics | Metal-Ceramic & All-Ceramic Crowns | INBDE, ADAT.mp4"
63,rgqydw,N96j0jOzwyQ,Perceptual Ability Test | Angle Ranking | DAT.mp4
64,oyxwwk,8OrCdgHcMVM,Developmental Psychology - Middle Adulthood - CH11.mp4
65,aqqzpy,2No3_SGYWhk,"Prosthodontics | Mandibular Edentulous Anatomy | INBDE, ADAT.mp4"
66,kjajup,wzthel3wEcw,"Oral Pathology | Mucosal Infections | INBDE, ADAT.mp4"
67,hhboxg,MLmLr0KW3f0,Oral Medicine | Diabetes | INBDE.mp4
68,ijifjf,MGwlw0iIDRE,"Prosthodontics | PRACTICE QUESTIONS | INBDE, ADAT.mp4"
69,mhhqzg,_BvFr9HEiQg,Human Biology Lecture: Chapter 18- Reproduction and Development.mp4
70,hripxz,X3wQCy5RIIw,Human Biology Lecture- Chapter 1: What is Life?.mp4
71,wzxlvf,Yeq6LO3q4Vo,"Periodontics | New Classification System | INBDE, ADAT.mp4"
72,cftulg,klcJZEHK_q8,"Operative Dentistry | PRACTICE QUESTIONS | INBDE, ADAT.mp4"
73,icquet,0gCtkq8KoRs,Chapter 38   The Senses.mp4
74,dlxdzc,uM1JOFaATP4,Chapter 32   Tissues and Endocrine System.mp4
75,txxahm,djcV5ja7wv4,Chapter 34   Respiratory System.mp4
76,menozr,Jz_A_b0HYWk,Anatomy & Physiology Chapter 11 Part B: Nervous System and Nervous Tissue Lecture.mp4
77,vvywdg,dC93OcrNX6c,Chapter 35   Innate Immunity.mp4
78,ybokqs,6U2ZTAWnVvo,"Operative Dentistry | Dental Caries | INBDE, ADAT.mp4"
79,aryrsb,j0VTYFUMW_M,Evidence-Based Dentistry Part 2.mp4
80,pssllz,g1JIbOMWBBM,Chapter 27   The Rise of the Invertebrate Animals.mp4
81,xdrrpx,xdhp4L_w2hc,"Oral Surgery | Simple Extraction | INBDE, ADAT.mp4"
82,gddyar,lRt4XoDmUxY,CurrentTopicsLecture5Ch5.mp4
83,adwxvg,7EsHL8Sacg0,"Endodontics | Pulp Biology and Tooth Pain | INBDE, ADAT.mp4"
84,ozygri,8jpO19qalIo,"Patient Management | PRACTICE QUESTIONS | INBDE, ADAT.mp4"
85,qzxibg,cwqr460lHLw,"Prosthodontics | Provisional Crowns | INBDE, ADAT.mp4"
86,vtktbw,FEh0PRkiRgg,Human Anatomy Lecture  Ch 20 Blood Vessels Pt 1.mp4
87,cakavo,v7dxeez3zb4,Histology slides review.mp4
88,uxwbeg,BzjxhCgaHCg,CurrentTopicsLecture9Ch9.mp4
89,aryrsb,j0VTYFUMW_M,Evidence-Based Dentistry Part 2.mp4
90,uszriv,UwqKCd6PM8Y,Orthodontic Treatment Pt. 2.mp4
91,htvpfe,KjkOGTYtCs0,Orthodontic Tooth Movement- Biomechanics- Duration.mp4
92,erhbqn,WGrvg7ZuPEc,"Pediatric Dentistry | PRACTICE QUESTIONS | INBDE, ADAT.mp4"
93,hkyigj,SGnIYlqel2s,"Endodontics | Procedural Complications | INBDE, ADAT.mp4"
94,bqzprh,C7cDbkQ4KQs,Anatomy and Physiology Chapter 13 Part D  lecture: Peripheral Nervous System.mp4
95,yysaqx,Ca0GC0Ph43k,"Oral Surgery | PRACTICE QUESTIONS | INBDE, ADAT.mp4"
96,rskdzi,WGrvg7ZuPEc,"Pediatric Dentistry | Child Behavior | INBDE, ADAT.mp4"
97,kdcdle,gvhMDfQc58c,Human Anatomy Lecture  Ch 10 Skeletal Muscle Tissue.mp4
98,sktpkr,3PuuHkdJoVo,STATIC OCCLUSION - Occlusal Contacts & Picket Fence.mp4
99,yhiddy,KDVP_WAIUXs,Orthodontic Treatment Pt.  1.mp4
100,zgpqgn,hmgVyFP9A9Y,Developmental Psychology - Cognitive - Young Adulthood - CH10.mp4
101,jlsjyc,BgkDDtOztEQ,"Prosthodontics | Clasp Design & Selection | INBDE, ADAT.mp4"
102,sdcniw,2RkiPyrUxw8,"Periodontics | Local Factors | INBDE, ADAT.mp4"
103,kaitxy,FnMYvGkk_YE,Human Anatomy Lecture  Ch 18 Blood.mp4
104,djwahz,OhqheV6Jl3k,"Prosthodontics | Maxillary Edentulous Anatomy | INBDE, ADAT.mp4"
105,tvtjdv,qwIbwnxbzLU,"Oral Surgery | Medical Emergencies | INBDE, ADAT.mp4"
106,ruquuc,EF-YTC5yHi0,Head & Neck Anatomy | Salivary Glands | INBDE.mp4
