,internal_id,timestamps
0,plllkw,"[18.0, 240.0, 345.0]"
0,xpetji,"[867.0, 1017.0, 1053.0, 1437.0, 1152.0, 810.0, 267.0, 1371.0, 1482.0, 492.0, 1107.0]"
0,cxqeox,"[39.0, 621.0, 561.0, 456.0, 219.0]"
0,ufwmpg,"[801.0, 3393.0, 3813.0, 1290.0, 543.0, 4017.0, 3345.0, 2070.0, 999.0, 2697.0, 1155.0, 3147.0, 3429.0, 2172.0, 2304.0, 174.0, 2814.0, 1410.0, 2550.0, 1725.0, 2283.0, 3306.0]"
0,xfzngr,"[276.0, 450.0, 90.0, 30.0]"
0,zrkmxn,"[321.0, 288.0, 126.0, 600.0, 396.0, 954.0, 669.0, 1047.0, 18.0, 222.0]"
0,vqesbr,"[39.0, 621.0, 561.0, 456.0, 219.0]"
0,hydixc,"[366.0, 33.0, 150.0]"
0,obwxrn,"[207.0, 312.0, 72.0, 6.0]"
0,ihdpjv,"[726.0, 462.0, 783.0, 18.0, 201.0]"
0,ubqley,"[775.0750750750751, 335.56890223556894, 374.1741741741742, 804.7714381047715, 1146.2796129462797, 923.5568902235569, 884.9516182849517, 20.787454120787455]"
0,asycxh,"[834.0, 1038.0, 438.0, 753.0, 1521.0, 12.0, 222.0]"
0,tabwoi,"[567.0, 294.0, 36.0, 168.0, 462.0]"
0,dxeqwb,"[2157.0, 1218.0, 1188.0, 1896.0, 1410.0, 2328.0, 1275.0, 1953.0, 1650.0, 846.0, 1308.0, 204.0, 2136.0]"
0,qrxowj,"[39.0, 621.0, 561.0, 456.0, 219.0]"
0,xxmbxs,"[1422.0, 3366.0, 2166.0, 2730.0, 765.0, 3012.0, 552.0, 2070.0, 2991.0, 990.0, 723.0, 2553.0, 1716.0, 1053.0, 1134.0, 3138.0, 1326.0, 3072.0, 1848.0, 3297.0, 300.0, 3063.0]"
0,oxratx,"[15.0, 186.0, 402.0]"
0,wdvnza,"[2895.0, 15.0, 2925.0, 978.0, 312.0, 477.0, 2226.0, 1026.0, 2472.0, 2529.0, 591.0, 2727.0, 2106.0, 1902.0, 387.0, 135.0, 1635.0, 1956.0, 2385.0, 1143.0, 1731.0, 546.0, 609.0, 2619.0, 1353.0, 201.0, 1995.0]"
0,pldnrz,"[39.0, 621.0, 561.0, 456.0, 219.0]"
0,lxwqhv,"[731.14042411087, 609.2836867590582, 264.5182835197863, 481.4827183169143, 585.5067623977292, 249.65770579395559, 784.6385039238604, 748.9731173818667, 20.804808816162964]"
0,oogxef,"[321.0, 15.0, 1149.0, 1557.0, 828.0, 1200.0, 1440.0, 192.0, 96.0, 648.0]"
0,zlervx,"[510.0, 225.0, 105.0, 360.0, 450.0]"
0,pajaco,"[327.0, 1794.0, 2799.0, 2055.0, 678.0, 2106.0, 51.0, 717.0, 1089.0, 2616.0, 1896.0]"
0,dtwoem,"[285.0850850850851, 124.72472472472472, 362.29562896229567]"
0,lhopxd,"[165.0, 528.0, 381.0, 90.0, 243.0]"
0,jtkszw,"[3108.0, 405.0, 2388.0, 807.0, 1458.0, 2031.0, 2844.0, 1245.0, 3.0, 1824.0, 2502.0, 3639.0, 1986.0, 135.0, 2973.0, 2184.0, 3240.0, 3426.0, 267.0, 1671.0, 2094.0, 201.0, 474.0]"
0,lhwemu,"[1107.0, 9.0, 381.0, 1395.0, 2850.0, 2973.0, 519.0, 2199.0, 222.0, 756.0, 312.0, 2925.0, 888.0, 1656.0, 2715.0, 2784.0, 2151.0, 2463.0, 1608.0, 111.0, 639.0, 2037.0, 1863.0, 2388.0, 930.0]"
0,cyqohz,"[114.0, 819.0, 510.0, 1056.0, 75.0, 204.0, 12.0]"
0,gxtjwd,"[294.0, 645.0, 960.0, 522.0, 12.0]"
0,znavfo,"[608.7754421087755, 1137.3707040373708, 1511.544878211545, 962.1621621621622, 2.9696363029696364]"
0,vxcarn,"[1713.0, 3393.0, 2328.0, 1212.0, 579.0, 2790.0, 1842.0, 1536.0, 183.0, 12.0, 762.0]"
0,vhghaj,"[519.0, 1572.0, 1287.0, 21.0, 1560.0, 843.0, 246.0, 1080.0, 1527.0, 744.0]"
0,cruilc,"[693.0, 132.0, 960.0, 393.0, 504.0, 858.0]"
0,hjsbwd,"[78.0, 93.0, 6.0]"
0,ejftjw,"[15.0, 678.0, 291.0, 120.0, 438.0]"
0,hgkxep,"[366.0, 834.0, 456.0, 192.0, 12.0, 714.0, 576.0]"
0,jslpij,"[1704.0, 2172.0, 3627.0, 2850.0, 2952.0, 1902.0, 2895.0, 711.0, 699.0, 3675.0, 3570.0, 3138.0, 3360.0, 3327.0, 2091.0, 804.0, 1020.0, 1398.0, 1617.0, 2574.0, 516.0, 150.0, 2790.0, 1995.0, 303.0, 2226.0, 1860.0]"
0,trlhdz,"[683.0163496830164, 95.02836169502837, 5.939272605939273, 445.44544544544544, 311.8118118118118]"
0,eqcnrd,"[1173.0063396730063, 703.8038038038038, 1876.8101434768103, 1633.2999666333, 374.1741741741742, 1377.9112445779112, 513.7470804137471, 1407.6076076076076, 50.483817150483816, 1559.059059059059]"
0,srmqde,"[39.0, 621.0, 561.0, 456.0, 219.0]"
0,shngtp,"[21.0, 261.0, 1080.0, 798.0, 531.0]"
0,rjgctw,"[841.3896776348756, 5.946216803073326, 761.1157507933857]"
0,sgmaal,"[366.0, 1083.0, 1311.0, 1404.0, 612.0, 30.0]"
0,pdddxw,"[1788.0, 273.0, 1662.0, 915.0, 1029.0, 18.0, 642.0]"
0,rzcsvv,"[2535.0, 1641.0, 1293.0, 1065.0, 2517.0, 1155.0, 174.0, 2415.0, 678.0, 225.0, 567.0, 2049.0, 2430.0, 3024.0, 3234.0, 2478.0, 2655.0, 2454.0]"
0,srmqde,"[621.0, 561.0, 456.0, 219.0]"
0,gmyvcu,"[825.0, 360.0, 12.0, 513.0]"
0,xgsetv,"[741.0, 318.0]"
0,pidfog,"[576.1094427761095, 665.1985318651986, 68.30163496830164, 757.2572572572573]"
0,yaldqc,"[501.86853520186855, 1541.2412412412414, 1048.2816149482817, 641.4414414414415, 1351.1845178511846, 1086.886886886887, 276.17617617617617, 97.997997997998, 1187.8545211878545]"
0,sosjvp,"[2601.0, 1854.0, 765.0, 2373.0, 1407.0, 690.0, 1287.0, 1659.0, 2490.0, 927.0, 2928.0, 1236.0, 432.0, 507.0, 2415.0, 3081.0, 3204.0, 2769.0, 1158.0, 1977.0, 2169.0, 1461.0, 1572.0, 2124.0, 1785.0, 1725.0, 105.0, 2076.0, 3399.0, 294.0, 1506.0, 1056.0, 39.0, 2652.0]"
0,uktblu,"[540.0, 1773.0, 1206.0]"
0,mlvdvr,"[2184.0, 978.0, 30.0, 1767.0, 1062.0, 2091.0, 225.0, 117.0, 2310.0, 972.0, 1587.0, 1431.0, 1311.0, 2208.0, 1683.0, 966.0, 177.0, 852.0, 1890.0, 450.0]"
0,apivsf,"[1517.4841508174843, 608.7754421087755, 1478.8788788788788, 920.5872539205873, 1122.5225225225226, 249.44944944944945, 828.5285285285286, 14.848181514848182]"
0,meatkb,"[780.0, 3396.0, 18.0, 1269.0, 3243.0, 654.0, 2073.0, 2700.0, 738.0, 2718.0, 2877.0, 3009.0, 2364.0, 54.0]"
0,bsjwsj,"[1305.0, 1602.0, 477.0, 1068.0, 594.0, 855.0, 21.0, 1188.0, 219.0, 1401.0]"
0,xiietr,"[1065.0, 276.0, 54.0, 1419.0, 1242.0, 657.0, 921.0]"
0,euwetu,"[33.0, 840.0, 264.0, 1296.0, 546.0, 1353.0]"
0,ruweka,"[1000.7674341007674, 697.8645311978646, 873.0730730730731, 347.4474474474475]"
0,wnhdmj,"[359.325992659326, 71.27127127127127, 507.8078078078078, 154.42108775442108, 590.9576242909576, 11.878545211878546, 421.6883550216884, 525.6256256256256, 216.78345011678346, 288.05472138805476]"
0,etdnlx,"[2649.0, 414.0, 1512.0, 1587.0, 1908.0, 1641.0, 510.0, 2844.0, 1338.0, 1203.0, 2859.0, 2217.0, 564.0, 1053.0, 603.0, 1461.0, 2433.0, 1869.0, 1848.0, 1968.0, 870.0, 1005.0]"
0,wayvbl,"[993.0, 1314.0, 1587.0, 4038.0, 177.0, 2736.0, 2481.0, 1071.0, 66.0, 2367.0, 3207.0, 1755.0, 1155.0, 1182.0, 2493.0, 3762.0, 579.0, 1386.0, 639.0, 1878.0, 1869.0, 192.0, 3099.0, 2295.0, 96.0, 2574.0, 2046.0, 330.0, 2394.0, 3693.0, 3903.0]"
0,yrhkqu,"[228.0, 198.0]"
0,rgqydw,"[651.0, 978.0, 348.0, 213.0, 447.0, 3.0, 120.0, 957.0, 864.0, 534.0]"
0,oyxwwk,"[1473.0, 1596.0, 1872.0, 18.0, 1077.0, 1848.0]"
0,aqqzpy,"[840.0, 726.0, 252.0, 21.0, 738.0]"
0,kjajup,"[462.0, 6.0, 945.0, 1080.0, 753.0]"
0,hhboxg,"[405.0, 1098.0, 15.0, 1314.0, 6.0]"
0,ijifjf,"[1113.0, 819.0, 9.0, 261.0, 603.0, 1362.0]"
0,mhhqzg,"[1293.0, 1902.0, 990.0, 1764.0, 1359.0, 147.0, 744.0, 201.0, 1419.0, 354.0, 252.0, 681.0, 1101.0, 2076.0, 2001.0, 561.0, 1662.0, 27.0, 501.0, 384.0, 1794.0, 1527.0, 1191.0]"
0,hripxz,"[546.0, 1266.0, 657.0, 1026.0, 12.0, 210.0, 360.0, 75.0]"
0,wzxlvf,"[1128.4617951284617, 1621.4214214214214, 371.20453787120454, 353.38672005338674, 92.05872539205873, 786.9536202869537, 890.8908908908909, 142.54254254254255, 582.0487153820487, 1493.727060393727, 2040.1401401401401, 1808.5085085085086]"
0,cftulg,"[671.1378044711379, 1116.5832499165833, 8.90890890890891, 1674.8748748748749, 1369.0023356690024, 487.02035368702036, 977.0103436770104]"
0,icquet,"[3159.0, 1230.0, 786.0, 312.0, 1935.0, 540.0, 2958.0, 1986.0, 423.0, 1476.0, 1437.0, 945.0, 2922.0, 1140.0, 720.0, 1080.0, 267.0, 1854.0, 2580.0, 2037.0, 1611.0, 96.0, 1722.0, 2283.0, 2118.0]"
0,dlxdzc,"[1248.0, 441.0, 1821.0, 561.0, 2052.0, 2358.0, 2205.0, 3360.0, 3267.0, 2853.0, 3102.0, 3003.0, 2145.0, 912.0, 1983.0, 2667.0]"
0,txxahm,"[936.0, 2040.0, 852.0, 2235.0, 453.0, 2112.0, 1704.0, 2250.0, 1677.0, 2700.0, 1155.0, 2376.0, 639.0, 504.0, 2985.0, 1566.0, 1971.0]"
0,menozr,"[1788.0, 2805.0, 3453.0, 315.0, 3603.0, 1707.0, 420.0, 360.0, 3492.0, 2700.0, 2208.0, 1920.0, 1569.0, 162.0, 1395.0, 75.0, 3321.0, 3138.0, 1284.0, 1845.0, 2121.0, 609.0]"
0,vvywdg,"[537.0, 207.0, 414.0, 732.0, 1644.0, 1116.0, 1341.0, 1593.0, 618.0, 648.0]"
0,ybokqs,"[1551.0, 978.0, 2031.0, 1071.0, 2070.0, 594.0, 1578.0, 198.0, 1491.0, 507.0, 375.0]"
0,aryrsb,"[39.0, 621.0, 561.0, 456.0, 219.0]"
0,pssllz,"[1794.0, 1290.0, 2193.0, 2586.0, 3111.0, 2547.0, 885.0, 1119.0, 1647.0, 1920.0, 636.0, 2322.0, 2790.0, 1536.0, 2559.0, 2841.0, 1035.0, 1971.0, 2094.0, 408.0, 3309.0, 2943.0]"
0,xdrrpx,"[996.557256501103, 1100.6751788221138, 901.3637275218932, 589.0099605588609, 226.08463132562338]"
0,gddyar,"[2991.0, 1971.0, 222.0, 2034.0, 1128.0, 2895.0, 2937.0, 2361.0, 1740.0, 12.0, 1167.0, 321.0, 759.0, 462.0, 1827.0, 810.0, 2754.0, 264.0, 597.0, 1044.0, 2451.0, 1437.0]"
0,adwxvg,"[687.0, 552.0, 843.0, 225.0, 60.0]"
0,ozygri,"[801.0, 963.0, 957.0, 1188.0, 318.0, 1737.0, 2037.0, 18.0, 531.0]"
0,qzxibg,"[186.0, 75.0, 513.0]"
0,vtktbw,"[333.0, 2850.0, 2727.0, 651.0, 1365.0, 849.0, 1512.0, 2523.0, 417.0, 1974.0, 2376.0, 1074.0, 792.0, 2115.0, 747.0, 3066.0, 105.0, 2301.0, 2205.0, 567.0, 516.0, 1869.0, 1242.0, 33.0]"
0,cakavo,"[990.0, 405.0, 1161.0, 1419.0, 1338.0, 1719.0, 735.0, 1923.0]"
0,uxwbeg,"[1050.0, 2217.0, 540.0, 693.0, 1272.0, 2547.0, 417.0, 1833.0, 1977.0, 2169.0, 2538.0, 783.0, 12.0, 2385.0, 1713.0, 318.0, 2238.0, 1392.0]"
0,aryrsb,"[621.0, 561.0, 456.0, 219.0]"
0,uszriv,"[130.66386666666668, 552.3518, 142.54240000000001, 282.11516666666665, 20.787433333333333]"
0,htvpfe,"[8.908900000000001, 323.69003333333336]"
0,erhbqn,"[726.0, 423.0, 1053.0, 231.0, 660.0, 942.0, 1143.0, 1524.0, 18.0, 498.0]"
0,hkyigj,"[591.0, 231.0]"
0,bqzprh,"[2061.0, 2388.0, 1572.0, 312.0, 3480.0, 2964.0, 1026.0, 2316.0, 930.0, 2601.0, 3045.0, 1917.0, 2733.0, 741.0, 2487.0, 3261.0]"
0,yysaqx,"[15.0, 825.0, 906.0, 471.0, 1620.0, 1506.0, 1050.0]"
0,rskdzi,"[327.0, 39.0, 621.0, 933.0, 1647.0, 1191.0]"
0,kdcdle,"[1737.0, 2991.0, 1317.0, 1854.0, 2856.0, 777.0, 924.0, 141.0, 2646.0, 2211.0, 2559.0, 2334.0, 2445.0, 1140.0, 1461.0, 195.0, 1596.0, 2001.0, 276.0, 561.0, 3048.0, 33.0, 375.0]"
0,sktpkr,"[87.0, 453.0, 204.0, 18.0]"
0,yhiddy,"[44.5445, 623.623, 769.1350333333334, 789.9224666666667, 763.1957666666667, 121.75496666666668, 534.534, 329.6293]"
0,zgpqgn,"[1305.0, 477.0, 627.0, 168.0, 324.0, 12.0, 1014.0]"
0,jlsjyc,"[39.0, 312.0, 627.0, 468.0, 1176.0, 705.0, 675.0, 858.0, 1059.0]"
0,sdcniw,"[576.1094427761095, 23.75709042375709, 662.2288955622289, 237.57090423757091]"
0,kaitxy,"[714.0, 1170.0, 1602.0, 990.0, 915.0, 2211.0, 1428.0, 1071.0, 1866.0, 1281.0, 489.0, 339.0, 1800.0, 1635.0, 1683.0, 66.0, 624.0]"
0,djwahz,"[384.0, 810.0, 753.0, 27.0]"
0,tvtjdv,"[1041.0, 1170.0, 120.0, 912.0, 504.0]"
0,ruquuc,"[456.0, 720.0, 138.0]"
0,mfewuh,"[1593.0, 99.0, 1329.0, 30.0, 1620.0, 1020.0, 678.0, 936.0, 330.0, 705.0, 891.0, 816.0, 1398.0, 1296.0, 558.0, 1827.0, 576.0, 1242.0, 450.0]"
0,msskhv,"[228.0, 582.0, 570.0, 354.0, 795.0, 738.0]"
0,czeswe,"[112.84606666666667, 282.11516666666665, 573.1392333333333, 234.60103333333333, 534.534, 436.53610000000003]"
0,ulgywi,"[726.0, 18.0, 492.0, 255.0, 156.0]"
0,npurai,"[1302.0, 906.0, 2346.0, 1389.0, 2010.0, 2670.0, 2211.0, 774.0, 1926.0, 444.0, 1251.0, 711.0, 750.0, 1506.0, 2103.0]"
0,iyyoht,"[756.0, 486.0, 6.0, 921.0, 300.0]"
0,aqeiwr,"[189.0, 6.0]"
0,uhrpei,"[1749.0, 1356.0, 9.0, 1233.0, 1491.0, 1008.0, 1278.0, 1851.0, 570.0, 777.0, 1155.0, 612.0, 1062.0, 444.0, 1680.0, 180.0, 1569.0, 306.0, 66.0, 807.0]"
0,fxddqo,"[711.0, 243.0]"
0,xtlxph,"[727.5608942275609, 448.4150817484151, 353.38672005338674, 293.993993993994, 573.1398064731399, 187.0870870870871, 691.9252585919253, 53.453453453453456, 409.80980980980985]"
0,sdipnw,"[342.0, 114.0, 1245.0, 3.0, 960.0, 1755.0, 1410.0, 1455.0, 498.0]"
0,jautph,"[228.0, 30.0]"
0,afsikc,[]
0,tpfibt,"[567.0, 387.0, 90.0]"
0,olaqxj,"[294.0, 45.0]"
0,wqyijj,"[1755.0550550550552, 23.75709042375709, 1006.7067067067068, 876.0427093760427, 766.1661661661662, 255.38872205538874, 166.29963296629964, 1345.2452452452453, 1398.6986986986988, 216.78345011678346]"
0,iqntxc,"[873.0, 1572.0, 234.0, 177.0, 486.0, 666.0, 945.0, 102.0, 1371.0, 711.0, 612.0, 1086.0, 408.0]"
0,afsikc,"[282.0, 309.0, 90.0, 702.0]"
0,bmqioa,"[15.0, 264.0, 285.0]"
0,mowrkl,"[3192.0, 366.0, 3537.0, 3159.0, 4146.0, 1863.0, 3405.0, 3486.0, 4020.0, 3399.0, 1596.0, 3168.0, 1755.0, 1827.0, 3114.0, 225.0, 1449.0, 3198.0, 2676.0, 24.0, 3183.0, 2754.0, 3279.0, 1710.0, 3438.0, 2823.0, 1884.0, 2118.0]"
0,whsuyw,"[423.4647083333333, 133.25812499999998, 607.0647916666667, 260.59366666666665, 313.89691666666664, 373.12275, 156.94845833333332, 601.1422083333333, 464.9227916666666, 272.4388333333333, 106.6065, 346.471125]"
0,yecmvl,"[1383.8505171838506, 965.1317984651319, 2007.4741408074742, 1342.2756089422758, 332.5992659325993, 1152.218885552219, 1612.5125125125126, 489.98998998999, 1401.6683350016683, 89.08908908908909, 697.8645311978646, 1725.3586920253588]"
0,fcxvmr,"[1656.0, 786.0, 1026.0, 1392.0, 591.0, 84.0, 1197.0, 354.0, 183.0]"
0,eupjay,"[1245.0, 1029.0, 1560.0, 684.0, 1386.0, 1746.0, 759.0, 1500.0]"
0,hrpnxe,"[942.0, 132.0, 867.0, 1539.0, 1584.0, 216.0, 798.0, 1611.0, 1077.0, 1512.0, 1140.0, 489.0, 975.0, 1389.0, 45.0, 1044.0, 1191.0, 624.0]"
0,dlfoyw,"[2415.0, 840.0, 1197.0, 588.0, 174.0, 1836.0, 2613.0, 2331.0, 96.0, 57.0, 1446.0]"
0,yirczy,"[582.0, 69.0, 531.0, 372.0]"
