internal_id,generated_pdf_path,reference_pdf_path,num_of_duplicates,num_of_missing_key_frames,num_of_non_key_frames,generated_pdf_key_frame_count,reference_pdf_key_frame_count,accuracy,similarity_score
lhopxd,/home/vedant/Downloads/key-frame-extraction-results-v1/result-pdfs/lhopxd_mci.pdf,/home/vedant/Downloads/reference-pdfs-v1/lhopxd_kqj.pdf,0,3,1,9,11,0.7272727272727273,0.6666666666666666
wayvbl,/home/vedant/Downloads/key-frame-extraction-results-v1/result-pdfs/wayvbl_pgo.pdf,/home/vedant/Downloads/reference-pdfs-v1/wayvbl_ris.pdf,54,20,61,145,50,0.6,0.2702702702702703
ruweka,/home/vedant/Downloads/key-frame-extraction-results-v1/result-pdfs/ruweka_hqx.pdf,/home/vedant/Downloads/reference-pdfs-v1/ruweka_ich.pdf,0,4,6,8,6,0.3333333333333333,0.16666666666666666
sgmaal,/home/vedant/Downloads/key-frame-extraction-results-v1/result-pdfs/sgmaal_sgf.pdf,/home/vedant/Downloads/reference-pdfs-v1/sgmaal_bmr.pdf,0,6,2,13,17,0.6470588235294118,0.5789473684210527
bmqioa,/home/vedant/Downloads/key-frame-extraction-results-v1/result-pdfs/bmqioa_vmn.pdf,/home/vedant/Downloads/reference-pdfs-v1/bmqioa_xfb.pdf,0,3,0,7,10,0.7,0.7
xpetji,/home/vedant/Downloads/key-frame-extraction-results-v1/result-pdfs/xpetji_onk.pdf,/home/vedant/Downloads/reference-pdfs-v1/xpetji_uxy.pdf,6,7,1,16,16,0.5625,0.5294117647058824
qzxibg,/home/vedant/Downloads/key-frame-extraction-results-v1/result-pdfs/qzxibg_mes.pdf,/home/vedant/Downloads/reference-pdfs-v1/qzxibg_zoz.pdf,0,3,1,6,8,0.625,0.5555555555555556
czeswe,/home/vedant/Downloads/key-frame-extraction-results-v1/result-pdfs/czeswe_fgz.pdf,/home/vedant/Downloads/reference-pdfs-v1/czeswe_uoo.pdf,1,4,3,8,8,0.5,0.36363636363636365
vhghaj,/home/vedant/Downloads/key-frame-extraction-results-v1/result-pdfs/vhghaj_okt.pdf,/home/vedant/Downloads/reference-pdfs-v1/vhghaj_ejo.pdf,2,11,2,14,21,0.47619047619047616,0.43478260869565216
meatkb,/home/vedant/Downloads/key-frame-extraction-results-v1/result-pdfs/meatkb_xjb.pdf,/home/vedant/Downloads/reference-pdfs-v1/meatkb_xxn.pdf,4,37,111,116,38,0.02631578947368421,0.006711409395973154
srmqde,/home/vedant/Downloads/key-frame-extraction-results-v1/result-pdfs/srmqde_bgc.pdf,/home/vedant/Downloads/reference-pdfs-v1/srmqde_rga.pdf,1,9,2,7,13,0.3076923076923077,0.26666666666666666
hhboxg,/home/vedant/Downloads/key-frame-extraction-results-v1/result-pdfs/hhboxg_qcx.pdf,/home/vedant/Downloads/reference-pdfs-v1/hhboxg_vew.pdf,1,3,2,13,13,0.7692307692307693,0.6666666666666666
mfewuh,/home/vedant/Downloads/key-frame-extraction-results-v1/result-pdfs/mfewuh_fzu.pdf,/home/vedant/Downloads/reference-pdfs-v1/mfewuh_dlg.pdf,1,16,15,33,33,0.5151515151515151,0.3541666666666667
wdvnza,/home/vedant/Downloads/key-frame-extraction-results-v1/result-pdfs/wdvnza_rre.pdf,/home/vedant/Downloads/reference-pdfs-v1/wdvnza_ajn.pdf,44,23,31,101,49,0.5306122448979592,0.325
