internal_id,generated_pdf_path,reference_pdf_path,num_of_duplicates,num_of_missing_key_frames,num_of_non_key_frames,generated_pdf_key_frame_count,reference_pdf_key_frame_count,accuracy,similarity_score
lxwqhv,/home/vedant/Desktop/glimpsify/most_info_frame_extractor/video2pdf/archives/data_archive_31/lxwqhv_ozq.pdf,/home/vedant/Downloads/reference-pdfs-v1/lxwqhv_uoh.pdf,4,13,1,12,20,0.35,0.3333333333333333
vqesbr,/home/vedant/Desktop/glimpsify/most_info_frame_extractor/video2pdf/archives/data_archive_31/vqesbr_chl.pdf,/home/vedant/Downloads/reference-pdfs-v1/vqesbr_zgz.pdf,1,9,3,8,13,0.3076923076923077,0.25
wayvbl,/home/vedant/Desktop/glimpsify/most_info_frame_extractor/video2pdf/archives/data_archive_31/wayvbl_wil.pdf,/home/vedant/Downloads/reference-pdfs-v1/wayvbl_ris.pdf,0,39,20,31,50,0.22,0.15714285714285714
zrkmxn,/home/vedant/Desktop/glimpsify/most_info_frame_extractor/video2pdf/archives/data_archive_31/zrkmxn_wmv.pdf,/home/vedant/Downloads/reference-pdfs-v1/zrkmxn_rtu.pdf,1,7,1,11,16,0.5625,0.5294117647058824
aryrsb,/home/vedant/Desktop/glimpsify/most_info_frame_extractor/video2pdf/archives/data_archive_31/aryrsb_bmc.pdf,/home/vedant/Downloads/reference-pdfs-v1/aryrsb_ldq.pdf,1,9,3,8,13,0.3076923076923077,0.25
pssllz,/home/vedant/Desktop/glimpsify/most_info_frame_extractor/video2pdf/archives/data_archive_31/pssllz_iau.pdf,/home/vedant/Downloads/reference-pdfs-v1/pssllz_zlt.pdf,1,35,5,23,52,0.3269230769230769,0.2982456140350877
znavfo,/home/vedant/Desktop/glimpsify/most_info_frame_extractor/video2pdf/archives/data_archive_31/znavfo_dxe.pdf,/home/vedant/Downloads/reference-pdfs-v1/znavfo_cev.pdf,0,9,1,9,17,0.47058823529411764,0.4444444444444444
sosjvp,/home/vedant/Desktop/glimpsify/most_info_frame_extractor/video2pdf/archives/data_archive_31/sosjvp_xbe.pdf,/home/vedant/Downloads/reference-pdfs-v1/sosjvp_rul.pdf,0,79,8,34,105,0.24761904761904763,0.23008849557522124
mfewuh,/home/vedant/Desktop/glimpsify/most_info_frame_extractor/video2pdf/archives/data_archive_31/mfewuh_nld.pdf,/home/vedant/Downloads/reference-pdfs-v1/mfewuh_dlg.pdf,1,19,4,19,33,0.42424242424242425,0.3783783783783784
tvtjdv,/home/vedant/Desktop/glimpsify/most_info_frame_extractor/video2pdf/archives/data_archive_31/tvtjdv_csv.pdf,/home/vedant/Downloads/reference-pdfs-v1/tvtjdv_zkz.pdf,0,7,1,9,15,0.5333333333333333,0.5
hrpnxe,/home/vedant/Desktop/glimpsify/most_info_frame_extractor/video2pdf/archives/data_archive_31/hrpnxe_fmb.pdf,/home/vedant/Downloads/reference-pdfs-v1/hrpnxe_urv.pdf,0,18,4,18,32,0.4375,0.3888888888888889
xxmbxs,/home/vedant/Desktop/glimpsify/most_info_frame_extractor/video2pdf/archives/data_archive_31/xxmbxs_jrm.pdf,/home/vedant/Downloads/reference-pdfs-v1/xxmbxs_xvg.pdf,2,26,6,21,39,0.3333333333333333,0.28888888888888886
obwxrn,/home/vedant/Desktop/glimpsify/most_info_frame_extractor/video2pdf/archives/data_archive_31/obwxrn_flj.pdf,/home/vedant/Downloads/reference-pdfs-v1/obwxrn_qcd.pdf,0,5,4,5,6,0.16666666666666666,0.1
ruquuc,/home/vedant/Desktop/glimpsify/most_info_frame_extractor/video2pdf/archives/data_archive_31/ruquuc_qgg.pdf,/home/vedant/Downloads/reference-pdfs-v1/ruquuc_vbx.pdf,0,3,1,5,7,0.5714285714285714,0.5
vtktbw,/home/vedant/Desktop/glimpsify/most_info_frame_extractor/video2pdf/archives/data_archive_31/vtktbw_mqo.pdf,/home/vedant/Downloads/reference-pdfs-v1/vtktbw_lnf.pdf,0,45,10,27,62,0.27419354838709675,0.2361111111111111
ruweka,/home/vedant/Desktop/glimpsify/most_info_frame_extractor/video2pdf/archives/data_archive_31/ruweka_vdm.pdf,/home/vedant/Downloads/reference-pdfs-v1/ruweka_ich.pdf,0,4,6,8,6,0.3333333333333333,0.16666666666666666
oogxef,/home/vedant/Desktop/glimpsify/most_info_frame_extractor/video2pdf/archives/data_archive_31/oogxef_ryg.pdf,/home/vedant/Downloads/reference-pdfs-v1/oogxef_mda.pdf,1,8,8,13,12,0.3333333333333333,0.2
