internal_id,num_of_duplicates,num_of_missing_key_frames,num_of_non_key_frames,generated_pdf_key_frame_count,reference_pdf_key_frame_count,accuracy,precision,similarity_score
wnhdmj,0,14,1,9,22,0.36363636363636365,0.8888888888888888,0.34782608695652173
dxeqwb,0,11,4,17,24,0.5416666666666666,0.7647058823529411,0.4642857142857143
aqqzpy,0,6,1,4,9,0.3333333333333333,0.75,0.3
cruilc,2,6,2,10,12,0.5,0.6,0.42857142857142855
yaldqc,2,11,0,14,23,0.5217391304347826,0.8571428571428571,0.5217391304347826
hrpnxe,0,16,5,21,32,0.5,0.7619047619047619,0.43243243243243246
sdipnw,0,11,2,10,19,0.42105263157894735,0.8,0.38095238095238093
ruquuc,0,3,1,5,7,0.5714285714285714,0.8,0.5
ozygri,0,8,2,11,17,0.5294117647058824,0.8181818181818182,0.47368421052631576
qzxibg,0,3,0,5,8,0.625,1.0,0.625
vhghaj,2,11,2,14,21,0.47619047619047616,0.7142857142857143,0.43478260869565216
yhiddy,2,13,1,11,21,0.38095238095238093,0.7272727272727273,0.36363636363636365
mhhqzg,1,21,6,27,41,0.4878048780487805,0.7407407407407407,0.425531914893617
sosjvp,0,66,15,54,105,0.37142857142857144,0.7222222222222222,0.325
rgqydw,0,4,2,10,12,0.6666666666666666,0.8,0.5714285714285714
czeswe,1,4,3,8,8,0.5,0.5,0.36363636363636365
bqzprh,0,23,2,24,45,0.4888888888888889,0.9166666666666666,0.46808510638297873
pdddxw,0,11,7,13,17,0.35294117647058826,0.46153846153846156,0.25
tvtjdv,0,7,0,8,15,0.5333333333333333,1.0,0.5333333333333333
yirczy,0,5,0,2,7,0.2857142857142857,1.0,0.2857142857142857
hhboxg,0,6,2,9,13,0.5384615384615384,0.7777777777777778,0.4666666666666667
iqntxc,0,12,7,23,28,0.5714285714285714,0.6956521739130435,0.45714285714285713
lxwqhv,1,14,1,8,20,0.3,0.75,0.2857142857142857
znavfo,0,6,0,11,17,0.6470588235294118,1.0,0.6470588235294118
tpfibt,0,3,4,8,7,0.5714285714285714,0.5,0.36363636363636365
wdvnza,1,40,2,12,49,0.1836734693877551,0.75,0.17647058823529413
fcxvmr,2,5,1,15,17,0.7058823529411765,0.8,0.6666666666666666
xiietr,0,9,1,8,16,0.4375,0.875,0.4117647058823529
xpetji,6,7,0,15,16,0.5625,0.6,0.5625
afsikc,1,8,0,7,14,0.42857142857142855,0.8571428571428571,0.42857142857142855
ruweka,0,6,5,5,6,0.0,0.0,0.0
sdcniw,0,6,1,6,11,0.45454545454545453,0.8333333333333334,0.4166666666666667
yysaqx,0,20,3,14,31,0.3548387096774194,0.7857142857142857,0.3235294117647059
oogxef,0,9,11,14,12,0.25,0.21428571428571427,0.13043478260869565
eupjay,0,14,4,14,24,0.4166666666666667,0.7142857142857143,0.35714285714285715
ijifjf,0,11,7,13,17,0.35294117647058826,0.46153846153846156,0.25
apivsf,1,4,4,12,11,0.6363636363636364,0.5833333333333334,0.4666666666666667
sgmaal,0,8,1,10,17,0.5294117647058824,0.9,0.5
aqeiwr,0,4,0,2,6,0.3333333333333333,1.0,0.3333333333333333
menozr,1,34,4,34,63,0.4603174603174603,0.8529411764705882,0.43283582089552236
sktpkr,0,3,4,8,7,0.5714285714285714,0.5,0.36363636363636365
obwxrn,0,5,3,4,6,0.16666666666666666,0.25,0.1111111111111111
olaqxj,0,4,0,4,8,0.5,1.0,0.5
hydixc,0,4,1,4,7,0.42857142857142855,0.75,0.375
txxahm,3,21,10,25,33,0.36363636363636365,0.48,0.27906976744186046
cftulg,0,8,4,13,17,0.5294117647058824,0.6923076923076923,0.42857142857142855
xxmbxs,3,19,6,29,39,0.5128205128205128,0.6896551724137931,0.4444444444444444
fxddqo,0,5,0,4,9,0.4444444444444444,1.0,0.4444444444444444
vvywdg,0,12,8,15,19,0.3684210526315789,0.4666666666666667,0.25925925925925924
gmyvcu,0,4,0,6,10,0.6,1.0,0.6
xgsetv,0,4,0,4,8,0.5,1.0,0.5
pssllz,2,28,6,32,52,0.46153846153846156,0.75,0.41379310344827586
meatkb,0,36,60,62,38,0.05263157894736842,0.03225806451612903,0.02040816326530612
uhrpei,0,25,9,33,49,0.4897959183673469,0.7272727272727273,0.41379310344827586
ihdpjv,0,6,0,7,13,0.5384615384615384,1.0,0.5384615384615384
gxtjwd,0,8,5,7,10,0.2,0.2857142857142857,0.13333333333333333
zrkmxn,0,8,2,10,16,0.5,0.8,0.4444444444444444
xtlxph,0,8,0,7,15,0.4666666666666667,1.0,0.4666666666666667
oyxwwk,0,4,3,12,13,0.6923076923076923,0.75,0.5625
cyqohz,0,5,1,10,14,0.6428571428571429,0.9,0.6
zgpqgn,0,6,4,13,15,0.6,0.6923076923076923,0.47368421052631576
adwxvg,0,3,1,7,9,0.6666666666666666,0.8571428571428571,0.6
bmqioa,0,3,0,7,10,0.7,1.0,0.7
vtktbw,0,40,13,35,62,0.3548387096774194,0.6285714285714286,0.29333333333333333
wayvbl,0,44,12,18,50,0.12,0.3333333333333333,0.0967741935483871
srmqde,1,9,2,7,13,0.3076923076923077,0.5714285714285714,0.26666666666666666
xfzngr,0,3,0,7,10,0.7,1.0,0.7
mlvdvr,0,14,7,21,28,0.5,0.6666666666666666,0.4
ufwmpg,0,25,4,36,57,0.5614035087719298,0.8888888888888888,0.5245901639344263
npurai,2,17,3,15,27,0.37037037037037035,0.6666666666666666,0.3333333333333333
jtkszw,1,29,8,32,52,0.4423076923076923,0.71875,0.38333333333333336
djwahz,3,2,0,7,6,0.6666666666666666,0.5714285714285714,0.6666666666666666
lhwemu,0,44,14,33,63,0.30158730158730157,0.5757575757575758,0.24675324675324675
yecmvl,0,13,0,21,34,0.6176470588235294,1.0,0.6176470588235294
hkyigj,0,1,1,5,5,0.8,0.8,0.6666666666666666
mfewuh,1,16,9,27,33,0.5151515151515151,0.6296296296296297,0.40476190476190477
lhopxd,0,3,1,9,11,0.7272727272727273,0.8888888888888888,0.6666666666666666
tabwoi,0,7,0,8,15,0.5333333333333333,1.0,0.5333333333333333
htvpfe,0,2,1,4,5,0.6,0.75,0.5
dlfoyw,0,4,12,17,9,0.5555555555555556,0.29411764705882354,0.23809523809523808
kdcdle,0,41,18,38,61,0.32786885245901637,0.5263157894736842,0.25316455696202533
eqcnrd,2,10,0,13,21,0.5238095238095238,0.8461538461538461,0.5238095238095238
