internal_id,generated_pdf_path_prominent_peaks,generated_pdf_path_k_transactions,reference_pdf_path_prominent_peaks,reference_pdf_path_k_transactions,num_of_duplicates_prominent_peaks,num_of_duplicates_k_transactions,num_of_missing_key_frames_prominent_peaks,num_of_missing_key_frames_k_transactions,num_of_non_key_frames_prominent_peaks,num_of_non_key_frames_k_transactions,generated_pdf_key_frame_count_prominent_peaks,generated_pdf_key_frame_count_k_transactions,reference_pdf_key_frame_count_prominent_peaks,reference_pdf_key_frame_count_k_transactions,accuracy_prominent_peaks,accuracy_k_transactions,similarity_score_prominent_peaks,similarity_score_k_transactions
lhopxd,/home/vedant/Downloads/key-frame-extraction-results-v1/result-pdfs/lhopxd_mci.pdf,/home/vedant/Desktop/glimpsify/most_info_frame_extractor/video2pdf/archives/data_archive_31/lhopxd_wgh.pdf,/home/vedant/Downloads/reference-pdfs-v1/lhopxd_kqj.pdf,/home/vedant/Downloads/reference-pdfs-v1/lhopxd_kqj.pdf,0,0,3,3,1,1,9,9,11,11,0.7272727272727273,0.7272727272727273,0.6666666666666666,0.6666666666666666
wayvbl,/home/vedant/Downloads/key-frame-extraction-results-v1/result-pdfs/wayvbl_pgo.pdf,/home/vedant/Desktop/glimpsify/most_info_frame_extractor/video2pdf/archives/data_archive_31/wayvbl_wil.pdf,/home/vedant/Downloads/reference-pdfs-v1/wayvbl_ris.pdf,/home/vedant/Downloads/reference-pdfs-v1/wayvbl_ris.pdf,54,0,20,39,61,20,145,31,50,50,0.6,0.22,0.2702702702702703,0.1571428571428571
ruweka,/home/vedant/Downloads/key-frame-extraction-results-v1/result-pdfs/ruweka_hqx.pdf,/home/vedant/Desktop/glimpsify/most_info_frame_extractor/video2pdf/archives/data_archive_31/ruweka_vdm.pdf,/home/vedant/Downloads/reference-pdfs-v1/ruweka_ich.pdf,/home/vedant/Downloads/reference-pdfs-v1/ruweka_ich.pdf,0,0,4,4,6,6,8,8,6,6,0.3333333333333333,0.3333333333333333,0.1666666666666666,0.1666666666666666
sgmaal,/home/vedant/Downloads/key-frame-extraction-results-v1/result-pdfs/sgmaal_sgf.pdf,/home/vedant/Desktop/glimpsify/most_info_frame_extractor/video2pdf/archives/data_archive_31/sgmaal_usa.pdf,/home/vedant/Downloads/reference-pdfs-v1/sgmaal_bmr.pdf,/home/vedant/Downloads/reference-pdfs-v1/sgmaal_bmr.pdf,0,0,6,8,2,2,13,11,17,17,0.6470588235294118,0.5294117647058824,0.5789473684210527,0.4736842105263157
xpetji,/home/vedant/Downloads/key-frame-extraction-results-v1/result-pdfs/xpetji_onk.pdf,/home/vedant/Desktop/glimpsify/most_info_frame_extractor/video2pdf/archives/data_archive_31/xpetji_mcg.pdf,/home/vedant/Downloads/reference-pdfs-v1/xpetji_uxy.pdf,/home/vedant/Downloads/reference-pdfs-v1/xpetji_uxy.pdf,6,4,7,10,1,1,16,11,16,16,0.5625,0.375,0.5294117647058824,0.3529411764705882
qzxibg,/home/vedant/Downloads/key-frame-extraction-results-v1/result-pdfs/qzxibg_mes.pdf,/home/vedant/Desktop/glimpsify/most_info_frame_extractor/video2pdf/archives/data_archive_31/qzxibg_wwn.pdf,/home/vedant/Downloads/reference-pdfs-v1/qzxibg_zoz.pdf,/home/vedant/Downloads/reference-pdfs-v1/qzxibg_zoz.pdf,0,1,3,3,1,1,6,7,8,8,0.625,0.625,0.5555555555555556,0.5555555555555556
czeswe,/home/vedant/Downloads/key-frame-extraction-results-v1/result-pdfs/czeswe_fgz.pdf,/home/vedant/Desktop/glimpsify/most_info_frame_extractor/video2pdf/archives/data_archive_31/czeswe_xyn.pdf,/home/vedant/Downloads/reference-pdfs-v1/czeswe_uoo.pdf,/home/vedant/Downloads/reference-pdfs-v1/czeswe_uoo.pdf,1,1,4,4,3,4,8,9,8,8,0.5,0.5,0.3636363636363636,0.3333333333333333
vhghaj,/home/vedant/Downloads/key-frame-extraction-results-v1/result-pdfs/vhghaj_okt.pdf,/home/vedant/Desktop/glimpsify/most_info_frame_extractor/video2pdf/archives/data_archive_31/vhghaj_ylz.pdf,/home/vedant/Downloads/reference-pdfs-v1/vhghaj_ejo.pdf,/home/vedant/Downloads/reference-pdfs-v1/vhghaj_ejo.pdf,2,2,11,12,2,2,14,13,21,21,0.4761904761904761,0.4285714285714285,0.4347826086956521,0.391304347826087
srmqde,/home/vedant/Downloads/key-frame-extraction-results-v1/result-pdfs/srmqde_bgc.pdf,/home/vedant/Desktop/glimpsify/most_info_frame_extractor/video2pdf/archives/data_archive_31/srmqde_mui.pdf,/home/vedant/Downloads/reference-pdfs-v1/srmqde_rga.pdf,/home/vedant/Downloads/reference-pdfs-v1/srmqde_rga.pdf,1,1,9,9,2,3,7,8,13,13,0.3076923076923077,0.3076923076923077,0.2666666666666666,0.25
hhboxg,/home/vedant/Downloads/key-frame-extraction-results-v1/result-pdfs/hhboxg_qcx.pdf,/home/vedant/Desktop/glimpsify/most_info_frame_extractor/video2pdf/archives/data_archive_31/hhboxg_nqq.pdf,/home/vedant/Downloads/reference-pdfs-v1/hhboxg_vew.pdf,/home/vedant/Downloads/reference-pdfs-v1/hhboxg_vew.pdf,1,1,3,5,2,2,13,11,13,13,0.7692307692307693,0.6153846153846154,0.6666666666666666,0.5333333333333333
mfewuh,/home/vedant/Downloads/key-frame-extraction-results-v1/result-pdfs/mfewuh_fzu.pdf,/home/vedant/Desktop/glimpsify/most_info_frame_extractor/video2pdf/archives/data_archive_31/mfewuh_nld.pdf,/home/vedant/Downloads/reference-pdfs-v1/mfewuh_dlg.pdf,/home/vedant/Downloads/reference-pdfs-v1/mfewuh_dlg.pdf,1,1,16,19,15,4,33,19,33,33,0.5151515151515151,0.4242424242424242,0.3541666666666667,0.3783783783783784
wdvnza,/home/vedant/Downloads/key-frame-extraction-results-v1/result-pdfs/wdvnza_rre.pdf,/home/vedant/Desktop/glimpsify/most_info_frame_extractor/video2pdf/archives/data_archive_31/wdvnza_ofq.pdf,/home/vedant/Downloads/reference-pdfs-v1/wdvnza_ajn.pdf,/home/vedant/Downloads/reference-pdfs-v1/wdvnza_ajn.pdf,44,3,23,32,31,7,101,27,49,49,0.5306122448979592,0.3469387755102041,0.325,0.3035714285714285
oyxwwk,/home/vedant/Downloads/key-frame-extraction-results-v1/result-pdfs/oyxwwk_qhf.pdf,/home/vedant/Desktop/glimpsify/most_info_frame_extractor/video2pdf/archives/data_archive_31/oyxwwk_stx.pdf,/home/vedant/Downloads/reference-pdfs-v1/oyxwwk_slz.pdf,/home/vedant/Downloads/reference-pdfs-v1/oyxwwk_slz.pdf,2,1,4,6,4,2,15,10,13,13,0.6923076923076923,0.5384615384615384,0.5294117647058824,0.4666666666666667
apivsf,/home/vedant/Downloads/key-frame-extraction-results-v1/result-pdfs/apivsf_zyu.pdf,/home/vedant/Desktop/glimpsify/most_info_frame_extractor/video2pdf/archives/data_archive_31/apivsf_pfn.pdf,/home/vedant/Downloads/reference-pdfs-v1/apivsf_qge.pdf,/home/vedant/Downloads/reference-pdfs-v1/apivsf_qge.pdf,7,1,3,5,4,3,19,10,11,11,0.7272727272727273,0.5454545454545454,0.5333333333333333,0.4285714285714285
hydixc,/home/vedant/Downloads/key-frame-extraction-results-v1/result-pdfs/hydixc_gxe.pdf,/home/vedant/Desktop/glimpsify/most_info_frame_extractor/video2pdf/archives/data_archive_31/hydixc_txq.pdf,/home/vedant/Downloads/reference-pdfs-v1/hydixc_fdq.pdf,/home/vedant/Downloads/reference-pdfs-v1/hydixc_fdq.pdf,0,0,4,4,1,2,4,5,7,7,0.4285714285714285,0.4285714285714285,0.375,0.3333333333333333
pssllz,/home/vedant/Downloads/key-frame-extraction-results-v1/result-pdfs/pssllz_vho.pdf,/home/vedant/Desktop/glimpsify/most_info_frame_extractor/video2pdf/archives/data_archive_31/pssllz_iau.pdf,/home/vedant/Downloads/reference-pdfs-v1/pssllz_zlt.pdf,/home/vedant/Downloads/reference-pdfs-v1/pssllz_zlt.pdf,45,1,12,35,29,5,114,23,52,52,0.7692307692307693,0.3269230769230769,0.4938271604938271,0.2982456140350877
tpfibt,/home/vedant/Downloads/key-frame-extraction-results-v1/result-pdfs/tpfibt_pce.pdf,/home/vedant/Desktop/glimpsify/most_info_frame_extractor/video2pdf/archives/data_archive_31/tpfibt_oeg.pdf,/home/vedant/Downloads/reference-pdfs-v1/tpfibt_iyk.pdf,/home/vedant/Downloads/reference-pdfs-v1/tpfibt_iyk.pdf,0,0,3,2,4,4,8,9,7,7,0.5714285714285714,0.7142857142857143,0.3636363636363636,0.4545454545454545
fxddqo,/home/vedant/Downloads/key-frame-extraction-results-v1/result-pdfs/fxddqo_xet.pdf,/home/vedant/Desktop/glimpsify/most_info_frame_extractor/video2pdf/archives/data_archive_31/fxddqo_kcl.pdf,/home/vedant/Downloads/reference-pdfs-v1/fxddqo_fkw.pdf,/home/vedant/Downloads/reference-pdfs-v1/fxddqo_fkw.pdf,0,0,5,4,0,0,4,5,9,9,0.4444444444444444,0.5555555555555556,0.4444444444444444,0.5555555555555556
cyqohz,/home/vedant/Downloads/key-frame-extraction-results-v1/result-pdfs/cyqohz_hod.pdf,/home/vedant/Desktop/glimpsify/most_info_frame_extractor/video2pdf/archives/data_archive_31/cyqohz_rxk.pdf,/home/vedant/Downloads/reference-pdfs-v1/cyqohz_wvb.pdf,/home/vedant/Downloads/reference-pdfs-v1/cyqohz_wvb.pdf,0,0,5,5,1,2,10,11,14,14,0.6428571428571429,0.6428571428571429,0.6,0.5625
yaldqc,/home/vedant/Downloads/key-frame-extraction-results-v1/result-pdfs/yaldqc_jad.pdf,/home/vedant/Desktop/glimpsify/most_info_frame_extractor/video2pdf/archives/data_archive_31/yaldqc_fzc.pdf,/home/vedant/Downloads/reference-pdfs-v1/yaldqc_qgd.pdf,/home/vedant/Downloads/reference-pdfs-v1/yaldqc_qgd.pdf,2,1,11,14,4,0,18,10,23,23,0.5217391304347826,0.391304347826087,0.4444444444444444,0.391304347826087
tvtjdv,/home/vedant/Downloads/key-frame-extraction-results-v1/result-pdfs/tvtjdv_vds.pdf,/home/vedant/Desktop/glimpsify/most_info_frame_extractor/video2pdf/archives/data_archive_31/tvtjdv_csv.pdf,/home/vedant/Downloads/reference-pdfs-v1/tvtjdv_zkz.pdf,/home/vedant/Downloads/reference-pdfs-v1/tvtjdv_zkz.pdf,0,0,7,7,0,1,8,9,15,15,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5
yysaqx,/home/vedant/Downloads/key-frame-extraction-results-v1/result-pdfs/yysaqx_qqi.pdf,/home/vedant/Desktop/glimpsify/most_info_frame_extractor/video2pdf/archives/data_archive_31/yysaqx_mkd.pdf,/home/vedant/Downloads/reference-pdfs-v1/yysaqx_ass.pdf,/home/vedant/Downloads/reference-pdfs-v1/yysaqx_ass.pdf,0,0,18,24,4,3,17,10,31,31,0.4193548387096774,0.2258064516129032,0.3714285714285714,0.2058823529411764
obwxrn,/home/vedant/Downloads/key-frame-extraction-results-v1/result-pdfs/obwxrn_obj.pdf,/home/vedant/Desktop/glimpsify/most_info_frame_extractor/video2pdf/archives/data_archive_31/obwxrn_flj.pdf,/home/vedant/Downloads/reference-pdfs-v1/obwxrn_qcd.pdf,/home/vedant/Downloads/reference-pdfs-v1/obwxrn_qcd.pdf,0,0,5,5,3,4,4,5,6,6,0.1666666666666666,0.1666666666666666,0.1111111111111111,0.1
oogxef,/home/vedant/Downloads/key-frame-extraction-results-v1/result-pdfs/oogxef_olb.pdf,/home/vedant/Desktop/glimpsify/most_info_frame_extractor/video2pdf/archives/data_archive_31/oogxef_ryg.pdf,/home/vedant/Downloads/reference-pdfs-v1/oogxef_mda.pdf,/home/vedant/Downloads/reference-pdfs-v1/oogxef_mda.pdf,2,1,7,8,13,8,20,13,12,12,0.4166666666666667,0.3333333333333333,0.2,0.2
